handle,name,description,friends_count,followers_count,status,isDem
SenShelby,Richard Shelby,The official Twitter page for U.S. Senator Richard Shelby (R-Ala.) https://t.co/YqOy54UpSf,508,5000,I just got off the phone with the President. He told me that his administration will not be sending any victims of… https://t.co/OAI5c6ahkL,0
SenShelby,Richard Shelby,The official Twitter page for U.S. Senator Richard Shelby (R-Ala.) https://t.co/YqOy54UpSf,508,5000,"Proud to announce that Will Griffith of #Madison, AL, has completed the Senate Page Program. This well-regarded pro… https://t.co/NP0gUWY7ud",0
SenShelby,Richard Shelby,The official Twitter page for U.S. Senator Richard Shelby (R-Ala.) https://t.co/YqOy54UpSf,508,5000,"RT @SenateGOP: Today we celebrate the birthday of George Washington, the first President of the United States, and honor all those who have…",0
SenShelby,Richard Shelby,The official Twitter page for U.S. Senator Richard Shelby (R-Ala.) https://t.co/YqOy54UpSf,508,5000,"Great news! Thanks to @POTUS and his Administration, the @Airbus plant in #Alabama has been spared from the harsh i… https://t.co/GVhyQCLQpK",0
SenShelby,Richard Shelby,The official Twitter page for U.S. Senator Richard Shelby (R-Ala.) https://t.co/YqOy54UpSf,508,5000,Today I had the pleasure of introducing Anna Manasco of #Birmingham during her @SenJudiciary hearing regarding her… https://t.co/fF9nzFCVtQ,0
SenShelby,Richard Shelby,The official Twitter page for U.S. Senator Richard Shelby (R-Ala.) https://t.co/YqOy54UpSf,508,5000,".@ARCGov’s decision to award $733,150 to @OpportunityALA will boost private investment &amp; business development in ou… https://t.co/SDlrs67Dja",0
SenShelby,Richard Shelby,The official Twitter page for U.S. Senator Richard Shelby (R-Ala.) https://t.co/YqOy54UpSf,508,5000,Andrew Brasher’s confirmation to the US Court of Appeals for the 11th Circuit is a testament to his vast legal abil… https://t.co/CSqwkj2Ira,0
SenShelby,Richard Shelby,The official Twitter page for U.S. Senator Richard Shelby (R-Ala.) https://t.co/YqOy54UpSf,508,5000,Grateful to the Army Corps of Engineers for allocating the full federal share of the project cost and to the state… https://t.co/HmVs6b1HgI,0
SenShelby,Richard Shelby,The official Twitter page for U.S. Senator Richard Shelby (R-Ala.) https://t.co/YqOy54UpSf,508,5000,The completion of this transformative project is expected to stem immeasurable economic growth and will position Al… https://t.co/qP7WCMfIUq,0
SenShelby,Richard Shelby,The official Twitter page for U.S. Senator Richard Shelby (R-Ala.) https://t.co/YqOy54UpSf,508,5000,Today marks a historic moment &amp; victory for #Mobile &amp; the entire state of #Alabama! @USACEHQ has allocated $274.3 m… https://t.co/C89hcbfpvM,0
SenShelby,Richard Shelby,The official Twitter page for U.S. Senator Richard Shelby (R-Ala.) https://t.co/YqOy54UpSf,508,5000,"RT @AlabamaEMA: From now until at least Thursday, NWS expects large amounts of rainfall for the northern half of the state. Flooding and fl…",0
SenShelby,Richard Shelby,The official Twitter page for U.S. Senator Richard Shelby (R-Ala.) https://t.co/YqOy54UpSf,508,5000,"Excellent news from @NOAA for #Alabama’s fishermen! Our state, along with 4 other Gulf states, will now have perman… https://t.co/Rw71ltGkX2",0
SenShelby,Richard Shelby,The official Twitter page for U.S. Senator Richard Shelby (R-Ala.) https://t.co/YqOy54UpSf,508,5000,"RT @NWSHuntsville: Severe Thunderstorm Warning including Sheffield AL, Tuscumbia AL, Cherokee AL until 5:45 PM CST https://t.co/tKKaDm0clW",0
SenShelby,Richard Shelby,The official Twitter page for U.S. Senator Richard Shelby (R-Ala.) https://t.co/YqOy54UpSf,508,5000,"RT @WVTM13: Tornado Watch for Bibb, Blount, Calhoun, Cherokee, Chilton, Cullman, Etowah, Fayette, Greene, Hale, Jefferson, Marion, Pickens,…",0
SenShelby,Richard Shelby,The official Twitter page for U.S. Senator Richard Shelby (R-Ala.) https://t.co/YqOy54UpSf,508,5000,The Senate is already getting back to work! @SenateMajLdr just filed cloture on Judge Andrew Brasher of #Montgomery… https://t.co/luYfu1akrj,0
SenShelby,Richard Shelby,The official Twitter page for U.S. Senator Richard Shelby (R-Ala.) https://t.co/YqOy54UpSf,508,5000,"For the sake of the American people, it’s time to put this behind us and move on. I look forward to getting back to… https://t.co/XsB2jDiSoQ",0
SenShelby,Richard Shelby,The official Twitter page for U.S. Senator Richard Shelby (R-Ala.) https://t.co/YqOy54UpSf,508,5000,Today I joined the majority of my Senate colleagues in justly voting to acquit @POTUS of both impeachment charges.… https://t.co/PMbudsRi59,0
SenShelby,Richard Shelby,The official Twitter page for U.S. Senator Richard Shelby (R-Ala.) https://t.co/YqOy54UpSf,508,5000,Today I spoke on the Senate floor ahead of the acquittal votes for President Donald Trump. View my full remarks reg… https://t.co/qnl8ij01uh,0
SenShelby,Richard Shelby,The official Twitter page for U.S. Senator Richard Shelby (R-Ala.) https://t.co/YqOy54UpSf,508,5000,"This afternoon, I will be speaking on the Senate floor regarding the impeachment proceedings of President Trump. Tu… https://t.co/Bjsovepqb2",0
SenShelby,Richard Shelby,The official Twitter page for U.S. Senator Richard Shelby (R-Ala.) https://t.co/YqOy54UpSf,508,5000,I look forward to continuing on this path to success paved by @realDonaldTrump. https://t.co/oa49evDPC5,0
DougJones,Doug Jones,Louise's husband. Father of three. Granddad of two. U.S. Senator for Alabama. Dog person. Avid hunter and fisherman. Author of ”Bending Toward Justice.”,376,5000,"Really excited about my buddy .@JasonIsbell joining us for a Super Tuesday, Alabama Primary night concert at the Hi… https://t.co/Y782jPRtrp",1
